"id","name","degrees","qualification_type","created_at"
410,"plastics mould technology","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:27.413794+00"
411,"textile technology","[{""id"": 63, ""name"": ""diploma"", ""created"": ""2023-01-11T16:34:38.712726Z"", ""details"": {""shortname"": ""diploma"", ""qualification_type"": {""id"": 4, ""name"": ""diploma""}}, ""updated"": ""2023-01-11T16:34:38.712726Z"", ""priority"": false}]","diploma","2023-01-11 16:31:27.415379+00"
412,"tool and die making","[{""id"": 63, ""name"": ""diploma"", ""created"": ""2023-01-11T16:34:38.712726Z"", ""details"": {""shortname"": ""diploma"", ""qualification_type"": {""id"": 4, ""name"": ""diploma""}}, ""updated"": ""2023-01-11T16:34:38.712726Z"", ""priority"": false}]","diploma","2023-01-11 16:31:27.416965+00"
413,"tool and die maker engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.418793+00"
414,"draughtsman mechanical engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.42039+00"
415,"diesel mechanic engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.421972+00"
416,"draughtsman civil engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.423571+00"
417,"pump operator","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.425157+00"
418,"fitter engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.426738+00"
419,"motor driving cum mechanic engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.428337+00"
420,"turner engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.429922+00"
421,"dress making","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.431509+00"
422,"manufacture foot wear","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.433096+00"
423,"information technology and esm engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.434678+00"
424,"secretarial practice","null","iti","2023-01-11 16:31:27.43627+00"
425,"machinist engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.43785+00"
426,"hair and skin care","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.439436+00"
427,"refrigeration engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.44116+00"
428,"fruit and vegetable processing","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.442905+00"
429,"mech instrument engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.44449+00"
430,"bleaching and dyeing calico print","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.446082+00"
431,"electrician engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.447668+00"
432,"letter press machine mender","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.449256+00"
433,"commercial art","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.45084+00"
434,"leather goods maker","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.452453+00"
435,"mechanic motor vehicle engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.454039+00"
436,"hand compositor","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.455626+00"
437,"mechanic radio and tv engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.457343+00"
438,"mechanic electronics engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.458941+00"
439,"surveyor engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.460535+00"
440,"foundry man engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.46218+00"
441,"sheet metal worker engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.463761+00"
442,"weaving of fancy fabric","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.465347+00"
443,"wireman engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.466925+00"
444,"cutting and sewing","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.468517+00"
445,"pattern maker engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.470105+00"
446,"plumber engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.471694+00"
447,"welder gas and electric engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.473273+00"
448,"book binder","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.474858+00"
449,"carpenter engineering","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.476448+00"
450,"embroidery and needle worker","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.478033+00"
451,"mechanic tractor","[{""id"": 64, ""name"": ""iti"", ""created"": ""2023-01-11T16:34:38.714608Z"", ""details"": {""shortname"": ""iti"", ""qualification_type"": {""id"": 1, ""name"": ""iti""}}, ""updated"": ""2023-01-11T16:34:38.714608Z"", ""priority"": false}]","iti","2023-01-11 16:31:27.479624+00"
452,"information science","[{""id"": 57, ""name"": ""master of science"", ""created"": ""2023-01-11T16:34:38.696586Z"", ""details"": {""shortname"": ""m sc"", ""qualification_type"": {""id"": 2, ""name"": ""masters"", ""created"": ""2023-01-10T05:32:57.088029Z"", ""details"": {}, ""updated"": ""2023-01-10T05:32:57.088029Z"", ""priority"": true}}, ""updated"": ""2023-02-28T06:32:05.784053Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.481626+00"
453,"computer science","[{""id"": 91, ""name"": ""master of technology""}, {""id"": 76, ""name"": ""master of engineering""}]","masters","2023-01-11 16:31:27.48321+00"
454,"mechatronics engineering","[{""id"": 91, ""name"": ""master of technology""}, {""id"": 76, ""name"": ""master of engineering""}]","masters","2023-01-11 16:31:27.484817+00"
455,"human resource management","[{""id"": 102, ""name"": ""post graduate diploma in management""}]","masters","2023-01-11 16:31:27.486593+00"
456,"project management","[{""id"": 68, ""name"": ""master of business administration""}]","masters","2023-01-11 16:31:27.488187+00"
457,"marketing","[{""id"": 68, ""name"": ""master of business administration"", ""created"": ""2023-01-11T16:34:38.721386Z"", ""details"": {""shortname"": ""mba"", ""qualification_type"": {""id"": 2, ""name"": ""masters""}}, ""updated"": ""2023-01-11T16:34:38.721386Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.489782+00"
458,"human resource management","[{""id"": 68, ""name"": ""master of business administration"", ""created"": ""2023-01-11T16:34:38.721386Z"", ""details"": {""shortname"": ""mba"", ""qualification_type"": {""id"": 2, ""name"": ""masters""}}, ""updated"": ""2023-01-11T16:34:38.721386Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.491369+00"
